Üretimden Satışlar Genel Sıra No;Firma Adı;Yıl;Üretimden Satışlar;Net Satışlar;Brüt Katma Değer;Özkaynak;Aktif Toplamı;Vergi Öncesi Kar/Zarar;FAVÖK Kar/Zarar;İhracat (Bin $) ;Ücretle Çalışanlar Ortalaması Kişi;Bağlı Olduğu Oda;Sermaye Payı Kamu;Sermaye Payı Özel;Sermaye Payı Yabancı;Sermaye Payı Halka Açık;NACE;NACE Kodu;ISIC;ISIC Kodu;Web Adresi;İl;İlçe;Adres
400;Sun Chemical Matbaa Mürekkepleri ve Gereçleri San. ve Tic. A.Ş.;2021;1.238.861.412,00;1.263.384.150,00;;;;;251.199.557,00;37.291,00;239;Ege Bölgesi Sanayi Odası;0,00;0,00;100,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.sunchemical.com/tr;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10037. Sok. No.4
401;Konveyör Beyaz Eşya ve Otomotiv Yan San. Tic. A.Ş.;2021;1.233.357.329,00;1.330.537.626,00;;703.569.783,00;1.176.539.676,00;;;36.634,00;2075;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.konveyor.com;İstanbul;Tuzla;İstanbul Deri Organize Sanayi Bölgesi Finisaj Cad. No.3 Ya2 Özel Parsel Aydınlı
402;Doğuş Yiyecek ve İçecek Üretim San. Tic. A.Ş.;2021;1.233.243.362,00;1.693.772.795,00;389.391.684,00;54.081.202,00;1.382.447.965,00;28.542.759,00;336.189.287,00;11.985,00;464;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.dogusyiyecekicecek.com.tr;İstanbul;Maltepe;Altıntepe Mah. Cihadiye Cad. No.94/1
403;Başak Traktör Tarım Ziraat ve İş Makinaları San. Tic. A.Ş.;2021;1.228.182.712,00;1.509.602.724,00;;;;;;23.932,00;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.basaktraktor.com.tr;Gaziantep;Şehitkamil;Başpınar (Organize) OSB Mah. 4. Bölge 83426 Nolu Cad. No.1
404;Farplas Otomotiv A.Ş.;2021;1.227.706.904,00;1.402.511.416,00;;187.301.819,00;1.183.662.462,00;;;12.754,00;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.farplas.com;Kocaeli;Çayırova;TOSB Otomotiv (OSB) Mah. 3. Cad. No.11 /2
405;Yorglass Cam San. ve Tic. A.Ş.;2021;1.226.479.797,00;1.323.615.383,00;;408.240.518,00;;;;69.484,00;1242;Manisa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Cam ve Camdan Mamul Eşya Sanayi;362       ;www.yorglass.com;Manisa;Yunusemre;Keçiliköy OSB Mah. Metin Ersan Cad. No:13             
406;Gemciler Güven Metal San. ve Tic. A.Ş.;2021;1.217.287.287,00;1.219.612.988,00;;;;;;67.636,00;;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.gemciler.com.tr;Kahramanmaraş;Dulkadiroğlu;Küçük Sanayi Sitesi 32. Cad. No.9
407;Yavuz Gıda San. ve Tic. A.Ş.;2021;1.213.252.622,00;1.366.844.543,00;;;;;;103.313,00;;Giresun Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.yavuz.com.tr;Giresun;Merkez;Aksu Mah. Anıl Sok. No.17
408;Teverpan MDF Levha San. ve Tic. A.Ş.;2021;1.209.937.589,00;1.229.121.231,00;;;1.258.340.559,00;;;49.411,00;665;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ağaç, ağaç ürünleri ve mantar ürünleri imalatı (mobilya hariç);16        ;Ağaç ve Mantar Ürünleri Sanayi;331       ;www.teverpan.com;İstanbul;Ümraniye;Tantavi Mah. Menteşoğlu Cad. No.25/10
409;Kalde Klima Orta Basınç Fittings ve Valf Sanayi A.Ş.;2021;1.209.849.391,00;1.317.062.582,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.kalde.com;İstanbul;Beylikdüzü;Adnan Kahveci Mah. Büyükdere Cad. No.20
410;Gürteks İplik San. ve Tic. A.Ş.;2021;1.209.254.759,00;1.277.383.784,00;304.419.348,00;760.226.246,00;1.469.153.936,00;40.167.587,00;166.062.337,00;;1551;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.gurteks.com.tr;Gaziantep;Şehitkamil;Başpınar (Organize ) OSB Mah. O.S.B. 2.Bölge 83228 No.Lu Cad. No.9 
411;İskur Boya Tekstil Tic. ve San. A.Ş.;2021;1.207.384.187,00;1.221.476.442,00;;;;;;;694;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.iskurboya.com;Kahramanmaraş;Dulkadiroğlu;Karacasu Ferhuş Mah. Havaalanı Cad. No.39/A
412;Tarımkredi Birlik Tarım Ürünleri Hayvancılık Ambalaj Petrol Nakliyat İth. İhr. San. ve Tic. A.Ş.;2021;1.205.408.614,00;2.964.641.240,00;377.594.382,00;102.962.642,00;2.596.601.915,00;57.500.891,00;284.305.983,00;22.934,00;425;Kırklareli Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.tarimkredibirlik.com.tr;Ankara;Çankaya;Kızılırmak Mah. Muhsin Yazıcıoğlu Cad. Protokol Binası No:39/39 Çukurambar
413;Sayınlar Gıda Maddeleri San. ve Tic. A.Ş.;2021;1.203.816.288,00;1.216.533.642,00;;;;;;55.876,00;;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.sayinlar.com.tr;Gaziantep;Şehitkamil;3. Organize Sanayi Bölgesi M.Batallı Bulvarı No:3 
414;Tat Gıda Sanayi A.Ş.;2021;1.192.068.631,00;1.348.519.598,00;485.860.062,00;917.155.853,00;1.677.192.154,00;290.136.193,00;169.039.985,00;38.442,00;1025;İstanbul Sanayi Odası;0,00;53,34;5,26;41,40;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.tatgida.com;İstanbul;Çekmeköy;Taşdelen Mah. Sırrı Çelik Bulvarı No.7
415;As Çimento San. ve Tic. A.Ş.;2021;1.189.149.413,00;1.189.354.633,00;;;;;;;;Bucak Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Taş ve Toprağa Dayalı Diğer Sanayi;369       ;www.ascimento.com.tr;Burdur;Bucak;Kızılkaya Beldesi Avdan Mah. Maltaşı Mevkii Küme Evler No.1/0
416;Milat Halı San. ve Tic. A.Ş.;2021;1.186.355.527,00;1.558.302.538,00;;;;;;;1209;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.milathali.com;Gaziantep;Şehitkamil;5.Organize Sanayi Bölgesi 83539 Nolu Cad. No.21 
417;Likit Kimya San. ve Tic. A.Ş.;2021;1.180.396.412,00;2.218.868.171,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.likitkimya.com;İstanbul;Ataşehir;Küçükbakklaköy Mah. Nartanesi Sok. No.16/A
418;Felda Iffco Gıda San. ve Tic. A.Ş.;2021;1.179.350.254,00;1.194.453.630,00;;;;;;4.665,00;;Ege Bölgesi Sanayi Odası;0,00;0,00;100,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.feldaiffco.com.tr;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10003 Sok. No.3
419;Stackpole International Otomotiv Ürünleri Ltd. Şti.;2021;1.175.755.751,00;1.229.764.052,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;0,00;100,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.stackpole.com.tr;İzmir;Gaziemir;Ege Serbest Bölgesi Çınar Sok. No.11
420;Plastay Kimya San. ve Tic. A.Ş.;2021;1.170.859.665,00;1.324.964.657,00;;;;;;78.774,00;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.plastay.com;Kocaeli;Gebze;Gebze Güzeller OSB İnönü Mah. Atatürk Bulvarı No.22
421;Murat Ticaret Kablo Sanayi A.Ş.;2021;1.162.906.448,00;1.162.906.448,00;223.549.753,00;551.385.633,00;1.024.550.010,00;138.277.414,00;68.865.971,00;95.557,00;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.muratticaret.com;İstanbul;Bahçelievler;Belediye Sanayi Sitesi A Blok Kocasinan
422;Yörükoğlu Süt ve Ürünleri San. Tic. A.Ş.;2021;1.158.487.137,00;1.555.263.109,00;176.695.142,00;54.544.166,00;745.033.822,00;3.183.810,00;104.959.922,00;8.314,00;934;Antalya Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.yorukoglusut.com.tr;Antalya;Döşemealtı;Organize Sanayi Bölgesi 2. Cadde No.6
423;Ege Endüstri ve Ticaret A.Ş.;2021;1.156.459.811,00;1.242.132.664,00;;;;;;;;Ege Bölgesi Sanayi Odası;0,00;65,33;0,00;34,67;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29        ;Taşıt Araçları Sanayi;384       ;www.egeendustri.com.tr;İzmir;Bornova;Kemalpaşa Cad. No.280 Pınarbaşı 
424;Koruma Klor Alkali San. ve Tic. A.Ş.;2021;1.154.603.184,00;1.947.690.710,00;;;;;;9.734,00;;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.koruma.com;Kocaeli;Derince;Deniz Mah. Petrol Ofisi Cad. No.43
425;İmbat Madencilik Enerji Turizm San. ve Tic. A.Ş.;2021;1.153.606.481,00;1.345.388.597,00;812.764.537,00;621.477.741,00;861.467.587,00;100.198.161,00;159.940.234,00;;4817;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Kömür ve linyit çıkartılması;05        ;"Madencilik ve Taşocakçılığı
";210       ;www.imbatmadencilik.com;İzmir;Konak;Atatürk Cad. No.378/1 D.101201 Alsancak
426;Enka Süt ve Gıda Mamülleri San. ve Tic. A.Ş.;2021;1.147.320.802,00;1.375.509.909,00;;;;;;32.794,00;;Konya Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.enkasut.com.tr;Konya;Karatay;Hacı Yusuf Mescit Mah. Pazarcık Sok. No.1
427;Omnia Nişasta San. ve Tic. A.Ş.;2021;1.145.996.538,00;1.322.699.618,00;;;3.357.213.744,00;;;59.517,00;;Adana Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.omnianisasta.com.tr;Adana;Sarıçam;Hacı Sabancı Organize Sanayi Bölgesi Yunus Emre Cad. No.8
428;Norm Cıvata San. ve Tic. A.Ş.;2021;1.144.882.288,00;2.953.055.011,00;;919.468.270,00;;;;76.338,00;633;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.normcivata.com.tr;İzmir;Çiğli;Atatürk Organize Sanayi Bölgesi 10007 Sok. No.1/1
429;Kervan Gıda San. ve Tic. A.Ş.;2021;1.144.740.265,00;1.165.977.754,00;313.874.284,00;813.470.957,00;1.904.207.261,00;169.480.996,00;227.253.495,00;96.719,00;2094;İstanbul Sanayi Odası;0,00;72,40;0,00;27,60;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.kervangida.com;İstanbul;Beylikdüzü;Yakuplu Mah. Fuar Cad. Beysan Sanayi Sitesi No.9/1
430;Alfa Metal Alüminyum San. ve Tic. A.Ş.;2021;1.141.845.657,00;1.176.746.849,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.alfametal.com.tr;İstanbul;Arnavutköy;Hadımköy Mah. Deniz Kızı Sok. No.9 
432;Pınar Entegre Et ve Un Sanayii A.Ş.;2021;1.131.868.054,00;1.133.329.898,00;241.800.435,00;365.514.848,00;817.571.247,00;107.804.264,00;121.727.294,00;4.252,00;823;Ege Bölgesi Sanayi Odası;0,00;66,76;0,00;33,24;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.pinar.com.tr;İzmir;Kemalpaşa;Kemalpaşa OSB Mah. 503 Sok. No.224
433;Sapro Temizlik Ürünleri San. ve Tic. A.Ş.;2021;1.117.436.141,00;1.121.646.641,00;;;;;;;458;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.sapro.com.tr;İstanbul;Silivri;Ortaköy Merkez Mah. İlter Bulvarı No.27
434;Borsan Kablo Elektrik Aydınlatma İnşaat San. ve Tic. A.Ş.;2021;1.117.270.633,00;1.127.386.262,00;;;;;;72.131,00;381;Samsun Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Elektrikli teçhizat imalatı;27        ;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383       ;www.borsan.com.tr;Samsun;Tekkeköy;Şabanoğlu OSB Mah. Organize Sanayi Bulvarı No.40/1
435;Torun Bakır Alaşımları Metal San. ve Tic. A.Ş.;2021;1.114.976.434,00;1.128.785.053,00;416.247.226,00;369.378.690,00;1.246.657.332,00;221.544.559,00;320.868.860,00;113.515,00;647;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28        ;Makine Sanayi (Elektrikli Olanlar Hariç);382       ;www.torunmetal.com;Kocaeli;Gebze;Gebze Organize Sanayi Bölgesi İhsan Dede Cad. No.116
436;Zeki Mensucat San. ve Tic. A.Ş.;2021;1.112.252.992,00;1.146.873.344,00;;;;;;;1742;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.zekimensucat.com.tr;Gaziantep;Şehitkamil;3. Organize Sanayi Bölgesi Mehmet Batallı Bulvarı No.35 
437;Arbel Bakliyat Hububat San. ve Tic. A.Ş.;2021;1.110.317.182,00;2.900.722.443,00;;;;;;;;Mersin Ticaret ve Sanayi Odası;0,00;0,00;100,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.arbel.com.tr;Mersin;Akdeniz;Yeni Mah. Cumhuriyet Bulvarı 73/4 Kazanlı  
438;Argon Kimya San. ve Tic. A.Ş.;2021;1.110.022.456,00;1.118.940.781,00;;220.495.994,00;709.438.868,00;;;68.387,00;59;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.argon.com.tr;İstanbul;Esenler;Tekstilkent Koza Plaza B Blok Kat.25 No.93/94 
439;Harput Tekstil San. ve Tic. A.Ş.;2021;1.105.100.444,00;1.392.361.983,00;380.623.952,00;628.748.473,00;1.365.599.571,00;118.250.149,00;241.703.037,00;29.733,00;1445;Bursa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.harputtekstil.com.tr;Bursa;Osmangazi;Yeni Yalova Yolu 12. Km Alaşar Mevki No.513 
440;Niğdelioğlu Metal Döküm İnşaat San. ve Tic. Ltd. Şti.;2021;1.102.962.644,00;1.102.962.645,00;52.829.906,00;196.437.026,00;235.365.775,00;99.975.877,00;47.214.347,00;1.814,00;70;Kocaeli Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.nigdelioglu.com.tr;Kocaeli;Gebze;Güzeller Organize Sanayi Bölgesi İnönü Mah. Ahmet Yesevi Cad. No.9
441;Arıkan Mensucat San. ve Tic. A.Ş.;2021;1.102.504.784,00;1.237.633.637,00;;;;;;;;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.arikan.com.tr;Kahramanmaraş;Dulkadiroğlu;Karacasu Ferhuş Mah. Havaalanı Cad. Arıkan Mensucat Sit. No.51/A
442;Flokser Tekstil San. ve Tic. A.Ş.;2021;1.100.686.737,00;1.320.686.737,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.flokser.com.tr;İstanbul;Arnavutköy;Hadımköy Mah. Ürgüplü Cad. No.7  
443;Üniteks Tekstil ve Ticaret A.Ş.;2021;1.098.171.493,00;1.140.334.271,00;128.821.792,00;331.870.304,00;673.412.582,00;21.142.386,00;19.741.677,00;94.212,00;812;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.uniteks.net ;İstanbul;Bahçelievler;Çobançeşme Mevkii Sanayi Cad. Selvi Sok. No.8 Yenibosna
444;Matesa Tekstil San. ve Tic. A.Ş.;2021;1.094.164.860,00;1.094.164.860,00;344.780.038,00;895.239.823,00;1.203.422.827,00;341.095.296,00;172.227.167,00;20.861,00;1770;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.matesa.com.tr;Kahramanmaraş;Dulkadiroğlu;Aksu Mah. Gazi Mustafa Kemal Bulvarı No.135/A
445;Işıl Tekstil San. ve Tic. Ltd. Şti.;2021;1.090.177.008,00;1.103.598.756,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.isiltekstil.com.tr;İstanbul;Beylikdüzü;Yakuplu Mah. Beysan San. Sit. Çarşı Sok. No.3
446;Akcoat İleri Kimyasal Kaplama Malzemeleri San. ve Tic. A.Ş.;2021;1.087.750.332,00;1.097.980.670,00;;;;;;;;Sakarya Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Diğer Kimyasal Ürünler Sanayi;352       ;www.akcoat.com;Sakarya;Adapazarı;Orta Mah. Can Sok. Safa Girişken İş Merkezi No.15/E
447;Turkuvaz Plastik ve Temizlik Ürünleri San. Tic. A.Ş.;2021;1.086.648.798,00;1.121.434.038,00;;;;;;;434;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.turkuvazplastik.com;İstanbul;Çekmeköy;Koçullu Mah. Koçullu Cad. No.7 Ömerli
448;Eurotec Mühendislik Plastikleri San. ve Tic. A.Ş.;2021;1.085.705.635,00;1.085.705.635,00;;;;;;;;Çorlu Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Kauçuk ve plastik ürünlerin imalatı;22        ;Başka Yerde Sınıflandırılmamış Plastik Ürünler Sanayi;356       ;www.eurotecep.com;Tekirdağ;Ergene;Karamehmet Mah. Avrupa Serbest Bölgesi Avrasya Bulvarı No.8
450;Erdem Tekstil San. ve Tic. A.Ş.;2021;1.083.515.647,00;1.083.515.647,00;307.759.932,00;711.018.157,00;836.291.356,00;360.732.447,00;255.304.218,00;13.607,00;875;Kahramanmaraş Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.erdemtekstil.com;Kahramanmaraş;Dulkadiroğlu;Karacasu Ferhuş Mah. Havaalanı Cad. No.40/A
451;Agromey Gıda ve Yem San. Tic. A.Ş.;2021;1.082.263.037,00;1.145.167.074,00;;;1.951.491.933,00;;;98.541,00;706;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.agromey.com.tr;İzmir;Konak;Şair Eşref Bulvarı Tuzcuoğlu İş Merkezi No.48 Kat 5 D.5 Alsancak
452;Yılmaz Redüktör San. ve Tic. A.Ş.;2021;1.080.531.841,00;1.102.017.335,00;;;;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Fabrikasyon metal ürünleri imalatı (makine ve teçhizat hariç);25        ;Metal Eşya Sanayi;381       ;www.yr.com.tr;İstanbul;Esenyurt;Atatürk Mah. Lozan Cad. No.17
453;Nitto Bento Bantçılık San. ve Tic. A.Ş.;2021;1.076.371.873,00;1.163.522.625,00;;621.506.629,00;1.041.167.306,00;;;57.561,00;459;İstanbul Sanayi Odası;0,00;0,00;100,00;0,00;Kağıt ve kağıt ürünlerinin imalatı;17        ;Kağıt ve Kağıt Ürünleri Sanayi;341       ;www.nitto.com;İstanbul;Esenyurt;Akçaburgaz Mah. 3097 Sok. No.9
454;Sedef Gemi İnşaatı A.Ş.;2021;1.068.732.578,00;1.988.862.425,00;;;;;;47.938,00;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Diğer ulaşım araçlarının imalatı;30        ;Taşıt Araçları Sanayi;384       ;www.sedefshipyard.com.com;İstanbul;Tuzla;Evliya Çelebi Mah. Tersaneler Cad. No.10
455;Silopi Elektrik Üretim A.Ş.;2021;1.067.779.355,00;1.075.391.110,00;;;;;;;;Şırnak Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35        ;"Elektrik Sektörü
";400       ;www.silopielektrik.com.tr;Şırnak;Silopi;Dicle Mah. İpek Yol Cad. 111 A No.1
456;İzocam Tic. ve San. A.Ş.;2021;1.067.443.780,00;1.106.274.567,00;;188.740.249,00;636.134.720,00;;102.970.079,00;26.199,00;462;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Diğer metalik olmayan mineral ürünlerin imalatı;23        ;Cam ve Camdan Mamul Eşya Sanayi;362       ;www.izocam.com.tr;İstanbul;Maltepe;Altayçeşme Mah. Çamlı Sok. Esas Ofispark No.21 Kat.45
457;Gentaş Kimya San. ve Tic. Pazarlama A.Ş.;2021;1.066.545.099,00;1.334.406.087,00;320.889.581,00;554.492.402,00;1.148.404.382,00;313.111.774,00;299.973.937,00;20.498,00;105;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Kimyasalların ve kimyasal ürünlerin imalatı;20        ;Ana Kimya Sanayi;351       ;www.gentaskimya.com;İstanbul;Tuzla;Tuzla Kimya Sanayicileri OSB Melek Aras Bulvarı Analitik Cad. No.82
458;Erkunt Sanayi A.Ş.;2021;1.066.529.465,00;1.086.723.512,00;353.916.579,00;352.222.769,00;635.462.676,00;161.672.792,00;221.168.565,00;91.200,00;;Ankara Sanayi Odası;0,00;36,28;63,72;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.erkunt.com.tr;Ankara;Etimesgut;Bahçekapı Mah. Fen İşleri Cad. No.2
459;Nadir Yağ San. ve Tic. A.Ş.;2021;1.065.874.706,00;2.391.791.403,00;68.586.820,00;246.096.100,00;462.321.565,00;32.278.152,00;62.963.014,00;206.462,00;163;Gaziantep Sanayi Odası;0,00;100,00;0,00;0,00;Gıda ürünlerinin imalatı;10        ;Gıda Maddeleri Sanayi;311       ;www.nadiryag.com;Gaziantep;Nurdağı;Bademli Mah. Kuloğlu Sok. No.113/1
460;TYH Uluslararası Tekstil Pazarlama San. ve Tic. A.Ş.;2021;1.063.074.608,00;1.254.674.686,00;;;;;;91.341,00;;Ege Bölgesi Sanayi Odası;0,00;100,00;0,00;0,00;Giyim eşyalarının imalatı;14        ;Giyim Eşya Sanayi;322       ;www.tyh.com.tr;İzmir;Bornova;Karacaoğlan Mah. 6171 Sok. No.8 Işıkkent
462;Akbaşlar Tekstil Enerji San. ve Tic. A.Ş.;2021;1.056.671.693,00;1.061.375.807,00;;228.305.531,00;1.309.362.204,00;;;58.859,00;1438;Bursa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.akbaslartekstil.com;Bursa;Gürsu;Atatürk Cad. No.197
463;Göliplik Şeremet Tekstil San. ve Tic. A.Ş.;2021;1.052.384.200,00;1.053.991.960,00;531.175.172,00;1.120.132.643,00;1.253.983.382,00;672.244.114,00;446.915.184,00;1.056,00;608;Bursa Ticaret ve Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.goliplik.com.tr;Bursa;Osmangazi;Yeni Yalova Yolu Buttim İş Merkezi Kat 7 D.1616
465;Yavuz Alüminyum San. ve Tic. A.Ş.;2021;1.051.162.001,00;1.236.158.784,00;;322.095.864,00;600.958.918,00;;;;;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Ana metal sanayii;24        ;DemirÇelik Dışında Ana Metal Sanayi;372       ;www.yavuzaluminyum.com;İstanbul;Arnavutköy;Ömerli Mah. İhsangazi Sok. No.10
466;İpek Mobilya İmalat İth. İhr. San. ve Tic. A.Ş.;2021;1.050.079.787,00;1.069.365.071,00;;;;;;112.482,00;;Kayseri Sanayi Odası;0,00;100,00;0,00;0,00;Mobilya imalatı;31        ;Ağaç, Mobilya ve Mefruşat Sanayi;332       ;www.ipekmobilya.com.tr;Kayseri;Hacılar;Karpuzsekisi Mah. 43. Cad. No.35
467;Kasar ve Dual Tekstil Sanayii A.Ş.;2021;1.044.599.554,00;1.055.659.141,00;431.669.977,00;514.130.122,00;1.073.353.201,00;238.528.094,00;278.620.344,00;66.352,00;1273;İstanbul Sanayi Odası;0,00;100,00;0,00;0,00;Tekstil ürünlerinin imalatı;13        ;Dokuma Sanayi;321       ;www.kasardual.com;İstanbul;Zeytinburnu;Maltepe Mah. Davutpaşa Cad. Yıldız Sok. No.3 Topkapı
